"C","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.29928,1,0.404,0,-5,-0.596
0.29979,1,0.405,0,-5,-0.595
0.30029,1,0.406,0,-5,-0.594
0.30079,1,0.407,0,-5,-0.593
0.3013,1,0.408,0,-5,-0.592
0.3018,1,0.409,0,-5,-0.591
0.30231,1,0.41,0,-5,-0.59
0.30281,1,0.411,0,-5,-0.589
0.30331,1,0.412,0,-5,-0.588
0.30382,1,0.413,0,-5,-0.587
0.30432,1,0.414,0,-5,-0.586
0.30483,1,0.415,0,-5,-0.585
0.30533,1,0.416,0,-5,-0.584
0.30583,1,0.417,0,-5,-0.583
0.30634,1,0.418,0,-5,-0.582
0.30684,1,0.419,0,-5,-0.581
0.30735,1,0.42,0,-5,-0.58
0.30785,1,0.421,0,-5,-0.579
0.30835,1,0.422,0,-5,-0.578
0.30886,1,0.423,0,-5,-0.577
0.30936,1,0.424,0,-5,-0.576
0.30987,1,0.425,0,-5,-0.575
0.31037,1,0.426,0,-5,-0.574
0.31087,1,0.427,0,-5,-0.573
0.31138,1,0.428,0,-5,-0.572
0.31188,1,0.429,0,-5,-0.571
0.31239,1,0.43,0,-5,-0.57
0.31289,1,0.431,0,-5,-0.569
0.31339,1,0.432,0,-5,-0.568
0.3139,1,0.433,0,-5,-0.567
0.3144,1,0.434,0,-5,-0.566
0.31491,1,0.435,0,-5,-0.565
0.31541,1,0.436,0,-5,-0.564
0.31591,1,0.437,0,-5,-0.563
0.31642,1,0.438,0,-5,-0.562
0.31692,1,0.439,0,-5,-0.561
0.31743,1,0.44,0,-5,-0.56
0.31793,1,0.441,0,-5,-0.559
0.31843,1,0.442,0,-5,-0.558
0.31894,1,0.443,0,-5,-0.557
0.31944,1,0.444,0,-5,-0.556
0.31995,1,0.445,0,-5,-0.555
0.32045,1,0.446,0,-5,-0.554
0.32095,1,0.447,0,-5,-0.553
0.32146,1,0.448,0,-5,-0.552
0.32196,1,0.449,0,-5,-0.551
0.32247,1,0.45,0,-5,-0.55
0.32265,1,0.451,0,-5,-0.549
0.32283,1,0.452,0,-5,-0.548
0.323,1,0.453,0,-5,-0.547
0.32318,1,0.454,0,-5,-0.546
0.32336,1,0.455,0,-5,-0.545
0.32354,1,0.456,0,-5,-0.544
0.32371,1,0.457,0,-5,-0.543
0.32389,1,0.458,0,-5,-0.542
0.32407,1,0.459,0,-5,-0.541
0.32424,1,0.46,0,-5,-0.54
0.32442,1,0.461,0,-5,-0.539
0.3246,1,0.462,0,-5,-0.538
